company_id,Company,description,Industry,Location(country),Location(State),Job_post
10000,Absorb Software Inc.,"Absorb Software Inc. is a Canadian technology company specializing in AI-driven learning management systems (LMS).Absorb provides scalable eLearning solutions tailored for businesses, educational institutions, government agencies, and non-profits worldwide.",Management,CANADA,AB,1
10001,"Acuitas Therapeutics, Inc.","Acuitas Therapeutics Inc. is a privately held biotechnology company. the company specializes in developing lipid nanoparticle (LNP) delivery systems for nucleic acid therapeutics, including mRNA and siRNA-based treatments.",Research,CANADA,BC,1
10002,Artis REIT,"Artis Real Estate Investment Trust (Artis REIT) is a diversified Canadian real estate investment trust (REIT) headquartered in Winnipeg, Manitoba. Established in 2004, Artis REIT focuses on creating value for unitholders through the ownership and active management of quality commercial properties across Canada and the United States.",Real estate,CANADA,MB,1
10003,Boughton Law Corporation,"Boughton Law Corporation is a full-service law firm based in Vancouver, British Columbia, with over 75 years of experience providing innovative legal solutions to clients across Canada and internationally.",Law,CANADA,BC,1
10004,Broadsign Canada Company,"Broadsign Canada Inc. is a leading provider of cloud-based digital signage and digital out-of-home (DOOH) software solutions. Founded in 2003 and headquartered in Montreal, Quebec, the company specializes in automating and optimizing the planning, management, and delivery of DOOH advertising campaigns across various venues, including airports, shopping malls, transit systems, and healthcare facilities",IT Software,CANADA,QC,1
10005,CGI Constructors,"CGI Constructors is a Canadian construction management and general contracting firm established in 1988. Headquartered in Mississauga, Ontario, the company operates offices across Canada, including in Victoria, Vancouver, Winnipeg, and Toronto, enabling it to serve clients nationwide.",Construction,CANADA,ON,2
10006,CoLab Software Inc.,"CoLab Software Inc. is a Canadian technology company specializing in cloud-based collaboration tools for engineering teams. Headquartered in St. John's, Newfoundland and Labrador, CoLab was founded in 2017 by mechanical engineers Adam Keating and Jeremy Andrews. The company offers a platform designed to streamline design reviews and issue tracking, aiming to enhance productivity and reduce time-to-market for complex engineering projects.",IT Software,CANADA,NL,1
10007,Fuller Landau LLP,"Fuller Landau LLP is a mid-sized Canadian accounting, tax, and advisory firm headquartered in Toronto, Ontario, with an additional office in Hamilton. Established in 1948, the firm comprises over 160 professionals dedicated to providing personalized and collaborative services to privately held businesses, high-net-worth families, and their advisors.",Accounting,CANADA,ON,2
10008,Lakefield LLP,"Lakefield LLP is a full-service law firm based in Saskatoon, Saskatchewan, offering a modern and client-focused approach to legal services. Established in 1996 and formerly known as WMCZ Lawyers, the firm has built a strong reputation for delivering practical, collaborative solutions tailored to the unique needs of its clients.",Law,CANADA,SK,2
10009,McDougall Gauley LLP,"McDougall Gauley LLP is one of Saskatchewan’s oldest and most established law firms. With offices in Regina and Saskatoon, the firm offers a full range of legal services across various practice areas, including litigation, business law, insurance, real estate, family law, and more. It serves both private individuals and corporate clients, and is known for its deep local roots, professional excellence, and commitment to client service throughout Western Canada.",Law,CANADA,SK,3
10010,Milliken & Company,"Milliken & Company is a global manufacturing company headquartered in Spartanburg, South Carolina, USA. Founded in 1865, Milliken operates across diverse industries, including specialty chemicals, floor coverings, healthcare, and performance and protective textiles. The company is known for its innovation in materials science, with a strong focus on sustainability and environmental stewardship. Milliken holds thousands of patents and serves clients worldwide in sectors such as automotive, building, industrial, and consumer products.",Engineering,United States,SC,2
10011,Capella Education,"Capella Education Company was an American education provider best known for operating Capella University, an online university offering undergraduate, graduate, and doctoral degrees. Headquartered in Minneapolis, Minnesota, Capella focused on adult learners and working professionals, providing flexible, competency-based education in fields such as business, education, health care, and information technology.",Education,United States,MN,1
10012,Austin Community College District,"Austin Community College District (ACC) is a public community college system serving the Austin, Texas metropolitan area. Established in 1973, ACC provides affordable, accessible higher education through associate degrees, workforce certifications, transfer pathways to four-year universities, and continuing education programs.",Education,United States,TX,0
10013,ITT,"ITT Inc. is a global engineering and manufacturing company based in Stamford, Connecticut, specializing in highly engineered components and customized technology solutions. Serving key industries such as transportation, industrial processes, and aerospace, ITT's product offerings include brake systems, pumps, valves, connectors, and shock absorbers. Known for its innovation, quality, and operational excellence, ITT supports critical infrastructure and industrial applications around the world.",Engineering,United States,NY,2
10014,Booking Holdings,"Booking Holdings Inc. is a global leader in online travel and related services, headquartered in Norwalk, Connecticut. The company operates well-known brands such as Booking.com, Priceline, Kayak, Agoda, Rentalcars.com, and OpenTable, offering a wide range of services including hotel and flight bookings, car rentals, and restaurant reservations. With operations in over 220 countries, Booking Holdings is recognized for its extensive travel inventory, user-friendly platforms, and commitment to making travel more accessible and convenient for consumers worldwide.",IT Software,United States,CT,3
